,title,price,info,link,time,street,number,address,location,point,latitude,longitude,altitude,dist,time_w,index
0,WG-Zimmer am Bremer - Hansaviertel - UNTERMIETE,326,"4er,WG,Münster,Hafen,Soesterstr,7",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Hafen.9005068.html,1641812400.0,Soesterstr,7,"Soesterstr,7,Hafen,Münster,Germany","Soester Straße, Bahnhof, Hansaviertel, Münster-Mitte, Münster, Nordrhein-Westfalen, 48155, Deutschland","(51.9528941, 7.6381486, 0.0)",51.9528941,7.6381486,0.0,7569794.128812318,3024000.0,0.612518719093007
2,3er WG sucht neue Mitbewohner*in,495,"3er,WG,Münster,Uppenberg,Grevener,Straße,220",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Uppenberg.7641108.html,1638356400.0,Grevener,Straße,"Grevener,Straße,Uppenberg,Münster,Germany","Grevener Straße/Nienkamp, 48149 Münster, Grevener Straße, Uppenberg, Mitte-Nordost, Münster-Mitte, Münster, Nordrhein-Westfalen, 48159, Deutschland","(51.9827734, 7.6119194, 0.0)",51.9827734,7.6119194,0.0,7573397.783661732,-432000.0,0.18309900698947082
4,Schönes WG-Zimmer Nähe York Ring,257,"3er,WG,Münster,Uppenberg,Salzmannstraße,,85",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Uppenberg.9022058.html,1638356400.0,Salzmannstraße,00,"Salzmannstraße,00,Uppenberg,Münster,Germany","Salzmannstraße, Uppenberg, Mitte-Nordost, Münster-Mitte, Münster, Nordrhein-Westfalen, 48147, Deutschland","(51.9833357, 7.6145697, 0.0)",51.9833357,7.6145697,0.0,7573310.055217718,-432000.0,0.18305848989697712
6,"2,5 Zimmer Dachgeschosswohnung in Gievenbeck",960,"3-Zimmer-Wohnung,Münster,Gievenbeck,Enschedeweg",https://www.wg-gesucht.de/wohnungen-in-Munster-Gievenbeck.4274770.html,1643713200.0,Enschedeweg,00,"Enschedeweg,00,Gievenbeck,Münster,Germany","Enschedeweg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9723414, 7.5759638, 0.0)",51.9723414,7.5759638,0.0,7574372.993286761,4924800.0,0.8496060872462047
7,Möbliertes Zimmer( 20m²) in Reihenhaus an nette  Studentin  abzugeben,390,"4er,WG,Münster,Gievenbeck,Asbeckweg,81",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Gievenbeck.4915052.html,1644922800.0,Asbeckweg,81,"Asbeckweg,81,Gievenbeck,Münster,Germany","81, Asbeckweg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48161, Deutschland","(51.96838195, 7.5692063514253665, 0.0)",51.96838195,7.5692063514253665,0.0,7574402.48338223,6134400.0,1.0
10,Zwischenmieter*in für 24 m² in Kinderhaus,395,"3er,WG,Münster,Kinderhaus,Brüningheide",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Kinderhaus.9026581.html,1641034800.0,Brüningheide,00,"Brüningheide,00,Kinderhaus,Münster,Germany","Brüningheide, Kinderhaus-West, Kinderhaus, Münster-Nord, Münster, Nordrhein-Westfalen, 48159, Deutschland","(52.0006646, 7.5917631, 0.0)",52.0006646,7.5917631,0.0,7575775.213485673,2246400.0,0.5165462614915441
13,WG Zimmer in einem Reihenhaus Warmmiete 300 Euro,300,"3er,WG,Münster,Coerde,Gleiwitzerstr.",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Coerde.9026561.html,1636887600.0,Gleiwitzerstr.,00,"Gleiwitzerstr.,00,Coerde,Münster,Germany","Gleiwitzer Straße, Coerde, Münster-Nord, Münster, Nordrhein-Westfalen, 48157, Deutschland","(51.995684, 7.6444046, 0.0)",51.995684,7.6444046,0.0,7572788.02633266,-1900800.0,0.0002960833394032746
14,Nettes 12 qm Zimmer in 3 Wg am Hansaring,275,"3er,WG,Münster,Hafen,Hansaring,31",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Hafen.6495373.html,1637406000.0,Hansaring,31,"Hansaring,31,Hafen,Münster,Germany","31, Hansaring, Hansaplatz, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48155, Deutschland","(51.9533211, 7.640413633916335, 0.0)",51.9533211,7.640413633916335,0.0,7569714.9761190815,-1382400.0,0.06439406785786608
15,11m2 Zimmer in 4erWG am Berg Fidel,330,"4er,WG,Münster,Berg,Fidel,Am,Berg,Fidel,66",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Berg-Fidel.8826773.html,1643713200.0,Fidel,Am,"Fidel,Am,Berg,Münster,Germany","Skatepark Berg Fidel, 53, Am Berg Fidel, Berg Fidel, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48153, Deutschland","(51.92826335, 7.624716039164567, 0.0)",51.92826335,7.624716039164567,0.0,7568558.969079147,4924800.0,0.8488045203899809
16,"WG-Zimmer in 3er WG im beliebten Rudolf-Harbig-Weg, Studentenwohnheim",280,"3er,WG,Münster,Sentrup,Rudolf-Harbig-Weg,26",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Sentrup.9026410.html,1638615600.0,Rudolf-Harbig-Weg,26,"Rudolf-Harbig-Weg,26,Sentrup,Münster,Germany","26, Rudolf-Harbig-Weg, Sentruper Höhe, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9733009, 7.596044675560025, 0.0)",51.9733009,7.596044675560025,0.0,7573452.680423487,-172800.0,0.21532076609436263
17,Süßes WG-Zimmer in WG zur Zwischenmiete,325,"5er,WG,Münster,Erphoviertel,Gereonstraße,15",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Erphoviertel.9026339.html,1638356400.0,Gereonstraße,15,"Gereonstraße,15,Erphoviertel,Münster,Germany","15, Gereonstraße, Mauritz-West, Innenstadtring, Münster-Mitte, Münster, Nordrhein-Westfalen, 48145, Deutschland","(51.96269115, 7.641723672223854, 0.0)",51.96269115,7.641723672223854,0.0,7570373.370626604,-432000.0,0.1827016565867485
0,Zimmer in 2er-WG im RHW,323,"2er,WG,Münster,Gievenbeck,Rudolf-Harbig-Weg,59",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Gievenbeck.8468019.html,1638356400.0,Rudolf-Harbig-Weg,59,"Rudolf-Harbig-Weg,59,Gievenbeck,Münster,Germany","59, Rudolf-Harbig-Weg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.97527375, 7.590555113784262, 0.0)",51.97527375,7.590555113784262,0.0,7573876.593328688,-432000.0,0.18313717079089015
1,16qm Zimmer in netter 4er WG in Münsters Studi-Gegend Nr.1,250,"4er,WG,Münster,Sentrup,Rudolf-Harbig-Weg,51",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Sentrup.9026191.html,1641034800.0,Rudolf-Harbig-Weg,51,"Rudolf-Harbig-Weg,51,Sentrup,Münster,Germany","Studentenwohnheim Rudolf-Harbig-Weg 39 - 51, 51, Rudolf-Harbig-Weg, Sentruper Höhe, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9743896, 7.592224116595003, 0.0)",51.9743896,7.592224116595003,0.0,7573725.781984909,2246400.0,0.5162732979671076
8,"Erstbezug, großzügige Neubau DG-Wohnung",927,"2-Zimmer-Wohnung,Münster,Hiltrup,Hülsebrockstr.27",https://www.wg-gesucht.de/wohnungen-in-Munster-Hiltrup.9020853.html,1643713200.0,Hülsebrockstr.27,00,"Hülsebrockstr.27,00,Hiltrup,Münster,Germany","27, Hülsebrockstraße, Hiltrup-West, Hiltrup, Münster-Hiltrup, Münster, Nordrhein-Westfalen, 48165, Deutschland","(51.907482599999994, 7.64906144455886, 0.0)",51.907482599999994,7.64906144455886,0.0,7565749.462471855,4924800.0,0.8485293085179512
10,Charmantes Zimmer in 5er WG (Geistviertel),405,"5er,WG,Münster,Geist,Geiststraße,50",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Geist.8982168.html,1636887600.0,Geiststraße,50,"Geiststraße,50,Geist,Münster,Germany","Schnabulenz, 50, Geiststraße, Geist, Mitte-Süd, Münster-Mitte, Münster, Nordrhein-Westfalen, 48151, Deutschland","(51.9489272, 7.6216927, 0.0)",51.9489272,7.6216927,0.0,7570302.728055889,-1900800.0,0.0
12,WG Zimmer mit Dielenboden und Balkonzugang in Aasee-Nähe,428,"3er,WG,Münster,Sentrup,Tondernstraße,28",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Sentrup.8457509.html,1638356400.0,Tondernstraße,28,"Tondernstraße,28,Sentrup,Münster,Germany","28, Tondernstraße, Sentruper Höhe, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9556471, 7.5980086, 0.0)",51.9556471,7.5980086,0.0,7571993.976363439,-432000.0,0.18291605448274204
13,"Helles WG-Zimmer (ab 15.11. frei) in saniertem Einfamilienhaus (3er WG), in guter, stadtnaher Lage von Münster...",449,"3er,WG,Münster,Mauritz,Ginsterweg",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Mauritz.8294361.html,1636974000.0,Ginsterweg,00,"Ginsterweg,00,Mauritz,Münster,Germany","Ginsterweg, Mauritz-Ost, Münster-Ost, Münster, Nordrhein-Westfalen, 48155, Deutschland","(51.9604667, 7.6745086, 0.0)",51.9604667,7.6745086,0.0,7568579.963846163,-1814400.0,0.010538404642793998
16,Zimmer frei in 2er WG beim RHW,376,"2er,WG,Münster,Gievenbeck,Rudolf-Harbig-Weg,20",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Gievenbeck.9024167.html,1641034800.0,Rudolf-Harbig-Weg,20,"Rudolf-Harbig-Weg,20,Gievenbeck,Münster,Germany","Rudolf-Harbig-Weg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48149, Deutschland","(51.9753641, 7.5916279, 0.0)",51.9753641,7.5916279,0.0,7573830.451867746,2246400.0,0.5163019908035795
17,Helles Zimmer (11qm) mit Balkon ab 1. Dez.,300,"4er,WG,Münster,Gievenbeck,Gescherweg,37",https://www.wg-gesucht.de/wg-zimmer-in-Munster-Gievenbeck.9025247.html,1638356400.0,Gescherweg,37,"Gescherweg,37,Gievenbeck,Münster,Germany","37, Gescherweg, Gievenbeck, Münster-West, Münster, Nordrhein-Westfalen, 48161, Deutschland","(51.9742891, 7.574250898698034, 0.0)",51.9742891,7.574250898698034,0.0,7574607.97618017,-432000.0,0.18322528594951942
